qubits,budget,time_ms,peak_mb,echo_fidelity,err_D,bound,estimate
26,0,1845,512.0,1.000000,0.000000,1.000000,1.000000
26,0.001,1835,512.0,0.999995,0.001000,0.996008,0.999921
26,0.01,1969,512.0,0.999998,0.010000,0.960788,0.999751
26,0.1,2327,512.0,0.999857,0.100000,0.669421,0.995702
26,0.5,2370,512.0,0.999789,0.500000,0.111111,0.973886
26,2,2483,256.0,0.999789,0.632759,0.050589,0.960518
26,100,2446,256.0,0.999789,0.632759,0.050589,0.960518
